year,Greenhouse_gases,Orbital_changes,Ozone,Solar,Volcanic
1880,287.505983,287.4333069,287.4003873,287.3992015,287.4407844
1881,287.4923243,287.4071775,287.395704,287.4171823,287.4708549
1882,287.4528977,287.4248835,287.3864733,287.4478705,287.4680167
1883,287.5001915,287.4234407,287.3990287,287.4353421,287.4026555
1884,287.4879753,287.4441164,287.3959911,287.474246,287.0703867
1885,287.4754009,287.4176693,287.4131911,287.5321225,287.0698061
1886,287.5057988,287.400932,287.4053304,287.4914971,287.1948543
1887,287.5475424,287.4458775,287.3931092,287.4492426,287.2909609
1888,287.5115341,287.451626,287.4222535,287.4410248,287.3332118
1889,287.4670058,287.3916536,287.4231502,287.449295,287.3422311
1890,287.4514486,287.4142017,287.3957826,287.4238028,287.3737467
1891,287.4996694,287.4595252,287.4033721,287.438238,287.3252184
1892,287.5240529,287.4213748,287.4204715,287.4418983,287.3305418
1893,287.4998275,287.4600775,287.4296177,287.4496493,287.3806486
1894,287.5355189,287.4470827,287.4609353,287.4736779,287.4110737
1895,287.5520953,287.4580911,287.4401354,287.4898234,287.4797239
1896,287.5387063,287.4647302,287.4262905,287.4665406,287.4689413
1897,287.5193399,287.446069,287.4154651,287.4513152,287.4761809
1898,287.4948272,287.4657003,287.4381435,287.4464531,287.478458
1899,287.5373376,287.4964694,287.4084819,287.4733029,287.4361611
1900,287.5366455,287.4396992,287.3965473,287.428335,287.5296885
1901,287.5066288,287.4974173,287.4084875,287.4396271,287.495535
1902,287.5944534,287.4936351,287.4337692,287.4457917,287.4508835
1903,287.5199668,287.4956793,287.4394314,287.4387322,287.2721609
1904,287.5701887,287.4447351,287.4510012,287.4332924,287.3280442
1905,287.6098152,287.4962364,287.4618312,287.4409517,287.3900694
1906,287.5636421,287.4446574,287.4640454,287.3900174,287.4220155
1907,287.6035437,287.4587868,287.4716545,287.4198167,287.4070452
1908,287.5534342,287.4465946,287.4657581,287.4294235,287.411678
1909,287.5369455,287.4392523,287.4594318,287.4341641,287.4786854
1910,287.5650785,287.4650303,287.4284855,287.4598219,287.4608861
1911,287.5716891,287.457249,287.4505526,287.4564672,287.4940866
1912,287.5975713,287.413501,287.464509,287.4116972,287.5026972
1913,287.64137,287.4610394,287.4458745,287.4148092,287.4100575
1914,287.5871849,287.4425312,287.4383287,287.4313515,287.4210102
1915,287.6058807,287.4320638,287.4625411,287.430296,287.4683032
1916,287.5710454,287.4171048,287.4985591,287.398982,287.5038007
1917,287.5705778,287.4233082,287.487653,287.4304293,287.449649
1918,287.6050411,287.4209847,287.4832874,287.4533388,287.4709143
1919,287.6359861,287.4509707,287.4154157,287.4708508,287.4508281
1920,287.5868161,287.4079416,287.4085155,287.4571683,287.4365224
1921,287.6126045,287.4004762,287.467757,287.4194356,287.4989747
1922,287.6225363,287.4014562,287.4269689,287.4330756,287.5097796
1923,287.641797,287.3694842,287.4983663,287.4914773,287.535803
1924,287.6231534,287.4088293,287.4459389,287.4524141,287.4627236
1925,287.6496248,287.395236,287.45482,287.4487442,287.4992274
1926,287.6816287,287.4125263,287.4416288,287.4801923,287.4893116
1927,287.6574602,287.4520886,287.4622659,287.4070887,287.4782899
1928,287.6468669,287.4264108,287.4615777,287.4541014,287.5213901
1929,287.7514568,287.4235211,287.4106504,287.429788,287.48069
1930,287.6722545,287.415922,287.4423865,287.4516445,287.4963328
1931,287.6702896,287.4435738,287.4529123,287.4533643,287.4462907
1932,287.7284118,287.4035765,287.4617221,287.4257857,287.4268653
1933,287.7579792,287.4312632,287.4627856,287.4400408,287.4342841
1934,287.7188846,287.4421387,287.4811672,287.4148736,287.492369
1935,287.7027773,287.3981925,287.4576933,287.453578,287.4526818
1936,287.7457337,287.4305631,287.4431479,287.4794191,287.4413076
1937,287.733939,287.4643587,287.4820607,287.4754978,287.4619405
1938,287.7582601,287.4288838,287.5029443,287.4472417,287.4479769
1939,287.7277403,287.4244349,287.4571873,287.4380366,287.443666
1940,287.7202488,287.4486003,287.4414317,287.4598441,287.5340079
1941,287.7653714,287.456777,287.4839535,287.4442166,287.4623586
1942,287.770814,287.4571004,287.4712218,287.4276263,287.4432462
1943,287.7921144,287.440184,287.4983065,287.461975,287.4955734
1944,287.7785111,287.411602,287.5199034,287.4300476,287.4603542
1945,287.7546275,287.4219855,287.5222918,287.3966258,287.4505651
1946,287.8033836,287.4004995,287.5018055,287.4200456,287.4418253
1947,287.8626309,287.37091,287.5114681,287.4613931,287.4576135
1948,287.7965231,287.4140521,287.4776755,287.4386904,287.4751733
1949,287.8114779,287.4581825,287.5252017,287.4683036,287.4988115
1950,287.7726324,287.4146151,287.4966536,287.5039012,287.5245577
1951,287.7522393,287.3890862,287.4711649,287.4485637,287.4810169
1952,287.8127756,287.4489821,287.4655666,287.4971468,287.4485591
1953,287.7843461,287.4446352,287.504363,287.4862958,287.5073933
1954,287.8325752,287.414468,287.4632245,287.4370106,287.5229575
1955,287.777115,287.4079225,287.4659635,287.4655635,287.4917693
1956,287.7832513,287.4123623,287.4979947,287.5578732,287.5109203
1957,287.8595198,287.427053,287.5343971,287.5428633,287.5179569
1958,287.8413921,287.4235285,287.5273778,287.4926869,287.5546869
1959,287.8208761,287.3831336,287.5062219,287.4763536,287.5481768
1960,287.8952546,287.4312319,287.4982977,287.4567407,287.4953057
1961,287.875407,287.4210464,287.5241741,287.5049612,287.423349
1962,287.9115206,287.4136734,287.5154749,287.5054334,287.4289394
1963,287.9114405,287.4538615,287.4756184,287.5128934,287.3576996
1964,287.9345519,287.4798312,287.4856719,287.470012,287.2599275
1965,287.8807595,287.4623403,287.5103521,287.4705337,287.270471
1966,287.8907876,287.4735066,287.5013429,287.4756236,287.2681479
1967,287.9280859,287.4817509,287.5138768,287.4506458,287.3331242
1968,287.9749804,287.4385121,287.5447355,287.4994772,287.3549888
1969,288.022858,287.4144851,287.5180108,287.4810077,287.3616277
1970,288.0268006,287.4199146,287.4865681,287.4725906,287.3484137
1971,288.0893587,287.4510599,287.5185431,287.4700735,287.4565434
1972,288.1141236,287.4669731,287.5153729,287.4827903,287.4707097
1973,288.090202,287.4396582,287.5274294,287.4712302,287.4904851
1974,288.1008843,287.4546652,287.4957358,287.4470125,287.4588154
1975,288.0878628,287.4842113,287.4812365,287.4562668,287.4193588
1976,288.1317045,287.4663942,287.5071501,287.4409922,287.3917549
1977,288.1351496,287.4468893,287.5161111,287.4954448,287.4772624
1978,288.1372031,287.4545815,287.4711512,287.4422471,287.4562295
1979,288.1970056,287.4705154,287.503647,287.4486515,287.4793446
1980,288.1588549,287.4376787,287.566361,287.4602781,287.4749776
1981,288.1993865,287.4771139,287.5297099,287.4607538,287.443323
1982,288.2214871,287.5317547,287.5773597,287.4510341,287.3757016
1983,288.2277915,287.5169203,287.5665396,287.4779475,287.1672563
1984,288.2275994,287.4935899,287.5353765,287.4997683,287.2366915
1985,288.2743106,287.5139327,287.5467294,287.4954021,287.341913
1986,288.2864421,287.4923485,287.5215539,287.45972,287.4037387
1987,288.2810082,287.4636193,287.5275727,287.4876589,287.4132983
1988,288.3642119,287.412059,287.563201,287.5025819,287.4339934
1989,288.3325347,287.4268094,287.5188291,287.4722325,287.4513284
1990,288.367806,287.4593997,287.519125,287.4663859,287.5026402
1991,288.3509183,287.3974775,287.5427285,287.442134,287.4047011
1992,288.4028484,287.4710274,287.5733207,287.4875037,287.092281
1993,288.4312142,287.4690342,287.5608127,287.4860462,287.1643661
1994,288.4630437,287.4113992,287.5768596,287.4641064,287.2766016
1995,288.4576172,287.4309002,287.5707908,287.467234,287.3923827
1996,288.4376288,287.4973616,287.594765,287.5075309,287.4715875
1997,288.4711317,287.3827286,287.5197193,287.4487493,287.4933563
1998,288.4790263,287.3731601,287.5305012,287.4922626,287.5280557
1999,288.4686619,287.43022,287.5492325,287.5028716,287.5232208
2000,288.5097935,287.4377207,287.50614,287.4711482,287.4976285
2001,288.552342,287.3895764,287.5182456,287.4725209,287.499175
2002,288.594759,287.399834,287.5455417,287.4771417,287.5044337
2003,288.5950259,287.4606982,287.5036283,287.4799193,287.5152206
2004,288.6154458,287.4196394,287.5003899,287.4913812,287.5340057
2005,288.652028,287.3833692,287.5379015,287.4531571,287.5377444
